Description,Code,Number of jobs (thousand),Median annual pay
  Business and Financial Project Management Professionals,244,291,57874
   Business and financial project management professionals,2440,291,57874
"  Architects, Chartered Architectural Technologists, Planning Officers, Surveyors and Construction Professionals",245,182,45972
   Architects,2451,32,45625
"   Chartered architectural technologists, planning officers and consultants",2452,20,34951
   Quantity surveyors,2453,38,51950
   Chartered surveyors,2454,58,45673
   Construction project managers and related professionals,2455,35,45613
  Welfare Professionals,246,164,39047
   Social workers,2461,105,42708
   Probation officers,2462,x,x
   Clergy,2463,41,30655
   Youth work professionals,2464,x,34630
   Welfare professionals n.e.c.,2469,14,33269
  Librarians and Related Professionals,247,22,31193
   Librarians,2471,13,x
   Archivists and curators,2472,9,33096
  Quality and Regulatory Professionals,248,189,46058
   Quality control and planning engineers,2481,50,42511
   Quality assurance and regulatory professionals,2482,129,47969
   Environmental health professionals,2483,10,40044
  Media Professionals,249,113,40895
   Newspaper and periodical editors,2491,26,41583
   Newspaper and periodical journalists and reporters,2492,17,42169
   Public relations professionals,2493,39,36336
   Advertising accounts managers and creative directors,2494,31,46356
Associate professional occupations,3,3804,35000
" Science, engineering and technology associate professionals",31,712,34828
"  Science, Engineering and Production Technicians",311,411,34863
   Laboratory technicians,3111,64,26861
   Electrical and electronics technicians ,3112,16,35018
   Engineering technicians ,3113,87,44330
   Building and civil engineering technicians ,3114,10,36912
   Quality assurance technicians ,3115,39,33242
"   Planning, process and production technicians",3116,49,36062
"   Science, engineering and production technicians n.e.c.",3119,146,34475
"  CAD, Drawing and Architectural Technicians",312,41,34465
"   CAD, drawing and architectural technicians",3120,41,34465
  Information Technology Technicians,313,261,34712
   IT operations technicians,3131,69,34656
   IT user support technicians,3132,152,34314
   Database administrators and web content technicians,3133,39,36015
 Health and social care associate professionals,32,605,25813
  Health Associate Professionals,321,77,28155
   Dispensing opticians,3211,x,27645
   Pharmaceutical technicians,3212,27,28381
   Medical and dental technicians,3213,32,29119
   Complementary health associate professionals,3214,x,x
   Health associate professionals n.e.c.,3219,8,25017
  Welfare and Housing Associate Professionals,322,365,27937
   Youth and community workers,3221,102,27711
   Child and early years officers,3222,53,29347
   Housing officers,3223,45,32542
   Counsellors,3224,19,27082
